ID,QuestionText,AnswerA,AnswerB,AnswerC,AnswerD,CorrectIndex,Explanation
BHQ1,"Before putting a boat back on its rack, what should you do?",Leave it on the dock for the next rower,Place it on stretchers/slings and wipe it down thoroughly,Ask a coach to inspect it,Rinse it with river water only,2,Boats should be placed on stretchers/slings and thoroughly wiped down with a towel/rag before returning them to the rack.
BHQ2,"When storing a boat back on the rack, the riggers should:",Be rotated 90 degrees,Be removed completely,Face outward for easy access,Align with those of other boats on the rack,4,"When storing boats, ensure the riggers align with those of other boats on the rack to maintain uniformity and balance."
BHQ3,Why is it important to disinfect oar handles after each row?,"To maintain hygiene and prevent spread of germs, especially with blisters",To make them more grippy,It's not important; oar handles don't need cleaning,To prevent the wood from cracking,1,"Disinfecting oar handles is crucial for maintaining hygiene and preventing the spread of germs, especially given the likelihood of blisters and potential bleeding."
BHQ4,"If you discover an issue with equipment, what should you do?",Leave it for someone else to discover,Note it in the logbook and notify a coach if significant,Use the equipment anyway to avoid canceling your row,Fix it yourself,2,"When you find equipment issues, note them in the logbook. If there is significant damage, also notify a coach or club officer immediately."
BHQ5,What is the proper way to access boats on high racks?,Use the provided step ladders,Climb on the racks themselves,Stand on another boat temporarily,Ask someone taller to help,1,Always use the provided step ladders for reaching high racks; never climb on the racks themselves. Return ladders to their designated storage locations after use.
BHQ6,"If you've used tape and there is tape residue on the oar handles, what should you do afterward?",Add an extra layer for the next person,Leave it for the next person,Wrap it with plastic wrap,"Remove it completely, leaving no residue",4,"If you've used tape and there is residue on the handles for blisters, remove it completely after your row. Sticky residue makes handles uncomfortable for the next user."
BHQ7,What footwear rule applies in boats?,Only waterproof shoes are allowed,No footwear restrictions,No street shoes in boats,Only barefoot is allowed in boats,3,"Hard-soled street shoes can damage the boat's hull and fittings. Use rowing-specific shoes, athletic shoes with soft non-marking soles, or socks. Note that street shoes are allowed on the dock but not in the boats."
BHQ8,Who is responsible for ensuring the boathouse is locked when leaving?,The last person leaving,Only coaches,The club president,Whoever arrives first in the morning,1,The last person leaving the boathouse is responsible for ensuring all doors and gates are locked.
BHQ9,What should you always do when using a boat?,Take a photo of it before and after,Leave a deposit with the coach,Fill out an online form,Sign out in the logbook before launching and sign back in upon return,4,"Always record your boat usage in the logbook before launching and sign back in upon return, including any issues encountered during your row."
BHQ10,When rowing activities MUST be postponed due to lightning?,Only during official thunderstorm warnings,Only if it's directly overhead,If lightning is seen within the previous 15 minutes,If lightning is seen or thunder is heard within the previous 30 minutes,4,Rowing activities MUST be postponed or curtailed if lightning is seen or thunder is heard within the previous 30 minutes.
BHQ11,What is the critical safety feature that must be checked at the bow of the boat?,Bow number,Bow ball,Speed sensor,Club logo,2,The bow ball is a critical safety feature that must be securely attached and undamaged.
BHQ12,What is the proper traffic pattern to follow on the river?,Stay in the middle,Stay to the port (left) side,Zigzag to avoid obstacles,Stay to the starboard (right) side,4,Always stay to the starboard (right) side of the river to prevent collisions.
BHQ13,How often should you look around while rowing?,Once per minute,Every 3-5 strokes,Only when turning,Only when the coach says to,2,"You should look around constantly, every 3-5 strokes, to maintain awareness of your surroundings."
BHQ14,What is the distress signal for scullers on the water?,Repeatedly raising and lowering both arms overhead,Splashing the water,Waving one arm overhead repeatedly,Lying flat in the boat,3,For scullers, the distress signal is waving one arm overhead repeatedly while using the other arm to maintain stability with the oars.
BHQ15,Which strap on the footstretcher is crucially important for safety in case of capsize?,Toe covers,Heel restraints,Shoelace ties,Ankle straps,2,Heel restraints are crucially important as they limit heel lift and allow quick foot release in case of capsize.
BHQ20,What action helps maintain boat longevity and shows respect for other rowers?,Adding personal modifications,Using the equipment as hard as possible to 'break it in',Proper care and cleaning after each use,Letting the coach handle all cleaning duties,3,Proper care and cleaning of equipment after each use helps maintain boat longevity and shows respect for other rowers who will use the equipment.
BHQ21,"Before leaving the boathouse area with a shell, what quick inspection is recommended?","Check seat, rigger, stretchers for loose/broken parts",Measure the boat length,Check the paint color,Polish the hull,1,"Do a quick inspection of the seat, rigger, stretchers, etc., to ensure no parts are missing, loose, or broken before rowing."
